,datetime,neutral,positive,negative
299,2023-02-25,0.67941636,0.16100031,0.15958332
300,2023-02-26,0.48173764,0.27612308,0.24213931
301,2023-02-27,0.5696058,0.30439728,0.12599684
302,2023-02-28,0.47408614,0.3463089,0.17960499
303,2023-03-01,0.5503043,0.24194281,0.2077529
304,2023-03-02,0.53825724,0.28004104,0.18170172
305,2023-03-03,0.49353656,0.3065533,0.19991012
306,2023-03-04,0.56026304,0.24726287,0.19247408
307,2023-03-05,0.24791345,0.4087146,0.343372
308,2023-03-06,0.539019,0.3239315,0.13704953
309,2023-03-07,0.5841839,0.26775336,0.1480628
310,2023-03-08,0.5219714,0.29596663,0.18206194
311,2023-03-09,0.5340062,0.27437553,0.1916183
312,2023-03-10,0.5769556,0.22139418,0.20165017
313,2023-03-11,0.5502282,0.27453497,0.17523684
314,2023-03-12,0.61894727,0.23264457,0.14840811
315,2023-03-13,0.5220027,0.33622006,0.14177725
316,2023-03-14,0.52282935,0.34062108,0.13654956
317,2023-03-15,0.47474134,0.33515573,0.19010295
318,2023-03-16,0.54837084,0.34838572,0.103243485
319,2023-03-17,0.53962713,0.30283287,0.15753998
320,2023-03-18,0.5643996,0.14846316,0.28713724
321,2023-03-19,0.58911467,0.18670826,0.22417706
322,2023-03-20,0.48872232,0.37865016,0.13262752
323,2023-03-21,0.49958238,0.37646717,0.12395044
324,2023-03-22,0.5370026,0.2900886,0.17290883
325,2023-03-23,0.4877213,0.34841365,0.16386504
326,2023-03-24,0.45660377,0.36344758,0.17994864
327,2023-03-25,0.42919332,0.39757636,0.1732303
328,2023-03-26,0.4816775,0.31178588,0.20653662
329,2023-03-27,0.47793123,0.34219226,0.1798765
330,2023-03-28,0.5554637,0.2791817,0.16535464
331,2023-03-29,0.5180896,0.3148212,0.16708921
332,2023-03-30,0.4187431,0.42122674,0.16003013
333,2023-03-31,0.40600592,0.39715505,0.19683905
334,2023-04-01,0.26328957,0.60196084,0.13474962
335,2023-04-02,0.43117875,0.3593911,0.20943013
336,2023-04-03,0.50729644,0.33039784,0.16230571
337,2023-04-04,0.463841,0.34734327,0.18881574
338,2023-04-05,0.49451253,0.29571655,0.20977093
339,2023-04-06,0.46250975,0.29303923,0.244451
340,2023-04-07,0.31737956,0.25926924,0.42335123
341,2023-04-08,0.59769577,0.24150017,0.16080405
342,2023-04-09,0.59765846,0.18910895,0.21323264
343,2023-04-10,0.42805013,0.2853481,0.28660178
344,2023-04-11,0.54334486,0.3142661,0.14238907
345,2023-04-12,0.45369187,0.35850784,0.18780027
346,2023-04-13,0.46030805,0.37656882,0.16312316
347,2023-04-14,0.29968944,0.49243948,0.2078711
348,2023-04-15,0.47740954,0.33595017,0.18664028
349,2023-04-16,0.4778075,0.28679127,0.23540121
350,2023-04-17,0.49416423,0.316573,0.18926278
351,2023-04-18,0.37962332,0.40074843,0.21962826
352,2023-04-19,0.4224365,0.30436596,0.27319753
353,2023-04-20,0.35483173,0.32051274,0.32465553
354,2023-04-21,0.41729674,0.3588686,0.22383468
355,2023-04-22,0.6084333,0.32313395,0.068432726
356,2023-04-23,0.5273935,0.13212487,0.34048158
357,2023-04-24,0.5258369,0.2727081,0.20145504
358,2023-04-25,0.38782886,0.40839523,0.20377591
359,2023-04-26,0.31846985,0.423054,0.25847614
360,2023-04-27,0.30840355,0.48046538,0.21113108
361,2023-04-28,0.41655502,0.34006056,0.24338439
362,2023-04-29,0.30211338,0.32725024,0.37063637
363,2023-04-30,0.5027956,0.24150483,0.2556996
364,2023-05-01,0.42731258,0.34796873,0.22471869
365,2023-05-02,0.50023973,0.30143586,0.1983244
366,2023-05-03,0.39274555,0.31415126,0.2931032
367,2023-05-04,0.44527364,0.3764165,0.17830986
368,2023-05-05,0.42614308,0.4336462,0.14021072
369,2023-05-06,0.54725033,0.2441497,0.20860003
370,2023-05-07,0.44697887,0.21938539,0.33363572
371,2023-05-08,0.4861088,0.37185204,0.14203916
372,2023-05-09,0.5107194,0.31656417,0.1727164
373,2023-05-10,0.49996528,0.32201853,0.17801619
374,2023-05-11,0.42881465,0.3208722,0.2503132
375,2023-05-12,0.4986781,0.26433837,0.23698355
376,2023-05-13,0.503609,0.29453748,0.20185348
377,2023-05-14,0.3594286,0.2958669,0.34470445
378,2023-05-15,0.53018045,0.3126845,0.15713505
379,2023-05-16,0.4659142,0.22757077,0.306515
380,2023-05-17,0.45215926,0.28960893,0.25823182
381,2023-05-18,0.42688048,0.3886415,0.18447798
382,2023-05-19,0.44872174,0.3375911,0.21368717
383,2023-05-20,0.6102974,0.14635523,0.24334739
384,2023-05-21,0.4638462,0.19601098,0.34014285
385,2023-05-22,0.46696582,0.32046327,0.21257092
386,2023-05-23,0.5171455,0.24042161,0.24243286
